"Variable","Estimate","Std_Error","z_value","p_value","Significance"
"(Intercept)",5.02956955269325,0.477413077794256,10.5350477115769,5.95530708841787e-26,"***"
"log(GVT_AGRI_FORESTRY_PC)",0.713408701753026,0.156543718835122,4.55724897211887,5.18279757026604e-06,"***"
"log(GVT_COMMUNICATION_PC)",0.819385157625243,0.0879684400172853,9.31453550232605,1.2248730800651e-20,"***"
"log(GVT_ECON_AFFAIRS_PC)",0.143589750634314,0.196509832087184,0.730700083091049,0.464962364803145,""
"log(GVT_EDUCATION_PC)",-0.749324385484837,0.38317007928529,-1.95559211429692,0.0505132225787754,"."
"log(GVT_ENERGY_PC)",-0.0436064292326301,0.0468865225869629,-0.93004187187802,0.352349405283279,""
"log(GVT_ENV_PROTECTION_PC)",-0.219321027300975,0.0621230597478234,-3.53042860720748,0.000414886967678623,"***"
"log(GVT_HEALTH_PC)",-1.50670166495903,0.27112631983907,-5.55719439504562,2.74145388367297e-08,"***"
"log(GVT_HOUSING_AMEN_PC)",0.438341505109438,0.163378622226331,2.68297956694846,0.00729694484708365,"**"
"log(GVT_SOCIAL_PROTECTION_PC)",0.633568344774136,0.151599058150484,4.1792366819669,2.92489161355124e-05,"***"
"log(GVT_OTHER_PC)",1.18342808911083,0.187916149143622,6.29763910395136,3.02213120653904e-10,"***"
"log(GVT_TRANSPORT_PC)",-0.465610400354113,0.1577302954207,-2.95194020344812,0.00315784076785741,"**"
"I(log(GVT_AGRI_FORESTRY_PC)^2)",-0.0779242126232722,0.0241657938883591,-3.22456663262402,0.00126163492697021,"**"
"I(log(GVT_COMMUNICATION_PC)^2)",-0.0328726445504754,0.0139827215597571,-2.35094751833466,0.0187256747914966,"*"
"I(log(GVT_ECON_AFFAIRS_PC)^2)",-0.113539045724185,0.0252875315558011,-4.48992205797718,7.12492397867495e-06,"***"
"I(log(GVT_EDUCATION_PC)^2)",0.589689324548569,0.0927227063790051,6.35970785988717,2.02137824058656e-10,"***"
"I(log(GVT_ENERGY_PC)^2)",0.0110003447977055,0.00229904244870488,4.78475062689786,1.711997534079e-06,"***"
"I(log(GVT_ENV_PROTECTION_PC)^2)",0.00754688075390749,0.00383872694247483,1.96598530372207,0.0493003082516986,"*"
"I(log(GVT_HEALTH_PC)^2)",-0.129996624243463,0.0581474392479716,-2.23563799067898,0.0253754939280565,"*"
"I(log(GVT_HOUSING_AMEN_PC)^2)",0.0158589248459772,0.0152545628872371,1.03961843831302,0.298517207109093,""
"I(log(GVT_SOCIAL_PROTECTION_PC)^2)",-0.0432733411782796,0.0100433126734158,-4.30867210704514,1.64237645637718e-05,"***"
"I(log(GVT_OTHER_PC)^2)",-0.287692030826462,0.0320023992344274,-8.98970195075156,2.47901781583041e-19,"***"
"I(log(GVT_TRANSPORT_PC)^2)",0.0369421272810392,0.0181215351698039,2.03857603314957,0.0414923592284743,"*"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_COMMUNICATION_PC))",0.159084344004431,0.0293821906758109,5.41431187890965,6.15248483182417e-08,"***"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ECON_AFFAIRS_PC))",0.182010232069489,0.0435892515869405,4.17557598359913,2.97233017370163e-05,"***"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_EDUCATION_PC))",-0.0937569468582268,0.0724143538574615,-1.29472876389639,0.195413813670608,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ENERGY_PC))",-0.00956501992190328,0.0100702201551038,-0.949832255360925,0.342197493497729,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ENV_PROTECTION_PC))",-0.0721912303314285,0.0144331223076059,-5.00177500009028,5.6804864331428e-07,"***"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_HEALTH_PC))",0.0204727338037607,0.0654798260789683,0.312657119447304,0.754541177017398,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_HOUSING_AMEN_PC))",-0.00516989082055444,0.0199212403374048,-0.259516512676536,0.795236743063589,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0598425570701274,0.0257524706357479,2.3237598410095,0.0201383692139049,"*"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_OTHER_PC))",-0.147721336890741,0.0410857157551548,-3.59544270254576,0.000323840401057305,"***"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_TRANSPORT_PC))",-0.00110805308694304,0.0304509700536878,-0.0363881047135589,0.970972898962672,""
"I(log(GVT_COMMUNICATION_PC) * log(GVT_ECON_AFFAIRS_PC))",-0.109061490519637,0.0168050383781828,-6.48980907185706,8.59452209568279e-11,"***"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_EDUCATION_PC))",-0.164214460403417,0.0472495146962499,-3.47547401193626,0.000509951399863432,"***"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_ENERGY_PC))",0.0288371723851338,0.00674446696425993,4.27567849882679,1.90556051549184e-05,"***"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_ENV_PROTECTION_PC))",0.0480181493628218,0.00745135578705404,6.44421642652581,1.16199171829826e-10,"***"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_HEALTH_PC))",0.135207253920756,0.0427924372239741,3.15960629241766,0.00157982462288518,"**"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_HOUSING_AMEN_PC))",0.100225951888976,0.0151163740453517,6.63029054376935,3.35026764005957e-11,"***"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_SOCIAL_PROTECTION_PC))",-0.0500299340432169,0.0202831861186769,-2.4665717580311,0.0136413392740171,"*"
"I(log(GVT_COMMUNICATION_PC) * log(GVT_OTHER_PC))",-0.00752235489311185,0.0286744390806292,-0.262336601317984,0.793061946073998,""
"I(log(GVT_COMMUNICATION_PC) * log(GVT_TRANSPORT_PC))",-0.176877704474155,0.0234491347548255,-7.54303757147184,4.59148799744237e-14,"***"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_EDUCATION_PC))",-0.21906540323386,0.09339404449981,-2.34560355970348,0.0189963005738092,"*"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_ENERGY_PC))",-0.0720280334111282,0.0138558045418038,-5.19840137711347,2.01009724476401e-07,"***"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_ENV_PROTECTION_PC))",-0.0476621060401646,0.0165191275110574,-2.88526776055582,0.00391080884617899,"**"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_HEALTH_PC))",0.109351961906204,0.0751159404791203,1.45577571429862,0.145454631405409,""
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_HOUSING_AMEN_PC))",0.120272296845797,0.0367170156383652,3.27565557153087,0.00105417036785642,"**"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_SOCIAL_PROTECTION_PC))",-0.13271110674635,0.02269137232986,-5.84852713256629,4.95944753656987e-09,"***"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_OTHER_PC))",0.294664614264411,0.0394486768072455,7.46956902266215,8.04578975625491e-14,"***"
"I(log(GVT_ECON_AFFAIRS_PC) * log(GVT_TRANSPORT_PC))",-0.0617591669472174,0.0383062881475747,-1.61224618551635,0.106908378596729,""
"I(log(GVT_EDUCATION_PC) * log(GVT_ENERGY_PC))",0.162875255938335,0.0240777979971005,6.76454117431956,1.33732324989134e-11,"***"
"I(log(GVT_EDUCATION_PC) * log(GVT_ENV_PROTECTION_PC))",0.165778454118325,0.0389254762401188,4.25886771675421,2.05465009477005e-05,"***"
"I(log(GVT_EDUCATION_PC) * log(GVT_HEALTH_PC))",-0.321371616235801,0.0844497042716199,-3.80547947453028,0.000141529751420514,"***"
"I(log(GVT_EDUCATION_PC) * log(GVT_HOUSING_AMEN_PC))",-0.679628098519823,0.0528075569180194,-12.8699023053633,6.64861926777426e-38,"***"
"I(log(GVT_EDUCATION_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0638947451123678,0.0651486224096153,0.980753586939048,0.326714271197938,""
"I(log(GVT_EDUCATION_PC) * log(GVT_OTHER_PC))",-0.0985623439899534,0.0920204592822283,-1.07109163286896,0.284128230021125,""
"I(log(GVT_EDUCATION_PC) * log(GVT_TRANSPORT_PC))",-0.0455851160820479,0.0627932401182117,-0.725955787537503,0.467865874880455,""
"I(log(GVT_ENERGY_PC) * log(GVT_ENV_PROTECTION_PC))",0.00949826173429267,0.00441007109784604,2.15376612384589,0.0312585175997685,"*"
"I(log(GVT_ENERGY_PC) * log(GVT_HEALTH_PC))",-0.152649950605843,0.0200012226595072,-7.63203096153146,2.31083918547597e-14,"***"
"I(log(GVT_ENERGY_PC) * log(GVT_HOUSING_AMEN_PC))",-0.0288870225548695,0.00922563247979589,-3.13116988110376,0.00174111411637545,"**"
"I(log(GVT_ENERGY_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0399692400960159,0.00904553839913877,4.41866899816835,9.93106084704052e-06,"***"
"I(log(GVT_ENERGY_PC) * log(GVT_OTHER_PC))",0.000699923537246943,0.00711792982527562,0.0983324582326633,0.92166830512401,""
"I(log(GVT_ENERGY_PC) * log(GVT_TRANSPORT_PC))",0.0359307037597265,0.00695906681889617,5.16314970021021,2.42828785757178e-07,"***"
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_HEALTH_PC))",-0.167620356185261,0.0302422211423689,-5.54259409043298,2.98023168322528e-08,"***"
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_HOUSING_AMEN_PC))",-0.0194789265231965,0.0112008233316975,-1.73906202663447,0.0820238531601235,"."
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0129207722316281,0.00896886778213203,1.4406246747632,0.149690745604192,""
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_OTHER_PC))",0.054325545769815,0.0180296109410292,3.01312912117192,0.00258568876813805,"**"
"I(log(GVT_ENV_PROTECTION_PC) * log(GVT_TRANSPORT_PC))",0.0410113057142526,0.0111552303929679,3.67641942564498,0.000236530516910534,"***"
"I(log(GVT_HEALTH_PC) * log(GVT_HOUSING_AMEN_PC))",0.367450053088872,0.0531337130128321,6.91557266099831,4.65977121871846e-12,"***"
"I(log(GVT_HEALTH_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.107945259178809,0.0621077021528271,1.73803337488143,0.0822049331612435,"."
"I(log(GVT_HEALTH_PC) * log(GVT_OTHER_PC))",0.33834273365538,0.0502497056540342,6.73322817022745,1.65939527222291e-11,"***"
"I(log(GVT_HEALTH_PC) * log(GVT_TRANSPORT_PC))",-0.0703535034299792,0.0670150477707563,-1.04981650793779,0.29380248397494,""
