"Variable","Estimate","Std_Error","z_value","p_value","Significance"
"(Intercept)",5.99758007522197,0.998057190693536,6.00925491158912,1.86377882890504e-09,"***"
"log(GVT_AGRI_FORESTRY_PC)",-0.375584013989319,0.991851929841014,-0.378669439146549,0.704933350240597,""
"log(GVT_COMMUNICATION_PC)",0.0371043884037123,0.986463154070165,0.0376135573342186,0.969995798382119,""
"log(GVT_ECON_AFFAIRS_PC)",0.41053862102609,0.981123355147422,0.418437313587753,0.675627409970729,""
"log(GVT_EDUCATION_PC)",-1.10031206251045,0.980751244688134,-1.12190738321248,0.26190182112175,""
"log(GVT_ENERGY_PC)",-0.0845964353981637,0.959893524858938,-0.088131061630607,0.929772508813134,""
"log(GVT_ENV_PROTECTION_PC)",0.409112731624949,0.980900512574948,0.417078721419967,0.676620828420751,""
"log(GVT_HEALTH_PC)",0.0960719224304525,0.976919012293517,0.098341747085978,0.921660929439835,""
"log(GVT_HOUSING_AMEN_PC)",-0.474505434394449,0.9723699049569,-0.487988605956991,0.62555791168977,""
"log(GVT_SOCIAL_PROTECTION_PC)",0.685754857200849,0.961928546110096,0.712895838234499,0.475910214656667,""
"log(GVT_OTHER_PC)",-0.435656767492893,0.97583198110662,-0.446446494814452,0.655274753763629,""
"log(GVT_TRANSPORT_PC)",1.00447796082229,0.985623821353275,1.01912914345265,0.308141660009105,""
"I(log(GVT_AGRI_FORESTRY_PC)^2)",-0.223637424482249,0.860795663359605,-0.259803149576071,0.795015621350789,""
"I(log(GVT_COMMUNICATION_PC)^2)",0.0668481118534701,0.669339207464882,0.0998718005877124,0.920446104264646,""
"I(log(GVT_ECON_AFFAIRS_PC)^2)",0.0165207755985721,0.704433540315458,0.0234525681317982,0.981289273213712,""
"I(log(GVT_EDUCATION_PC)^2)",0.306438008493106,0.756729397994721,0.404950579830974,0.685513838072814,""
"I(log(GVT_ENERGY_PC)^2)",0.0528049985837549,0.157636637218698,0.334979225105492,0.737640757735027,""
"I(log(GVT_ENV_PROTECTION_PC)^2)",0.0203744397161821,0.278968165446239,0.0730349991139351,0.941778266602909,""
"I(log(GVT_HEALTH_PC)^2)",0.0633363458525183,0.783118292443273,0.0808771120068124,0.935539682297315,""
"I(log(GVT_HOUSING_AMEN_PC)^2)",-0.0453650364696428,0.74985525831759,-0.0604983908113492,0.951758697450704,""
"I(log(GVT_SOCIAL_PROTECTION_PC)^2)",-0.0507490464637125,0.614449693253739,-0.0825926793045943,0.934175422456026,""
"I(log(GVT_OTHER_PC)^2)",0.172646085489238,0.601883543568107,0.286843006980638,0.774232531171634,""
