"Variable","Estimate","Std_Error","z_value","p_value","Significance"
"(Intercept)",6.07949833799431,0.546986369064493,11.1145335273931,1.06606311142393e-28,"***"
"log(GVT_AGRI_FORESTRY_PC)",0.505346050753615,0.216375210637331,2.33550807074953,0.0195168947819465,"*"
"log(GVT_COMMUNICATION_PC)",0.720799629235085,0.0813201968347945,8.86372214149236,7.73864782770902e-19,"***"
"log(GVT_ECON_AFFAIRS_PC)",-0.430922316641404,0.280803918222015,-1.53460222125782,0.12488156671548,""
"log(GVT_EDUCATION_PC)",-0.552682888270901,0.367671821466017,-1.50319620923679,0.13278845478294,""
"log(GVT_ENERGY_PC)",-0.311194234520571,0.0493898028623208,-6.30077903708295,2.96153335047643e-10,"***"
"log(GVT_ENV_PROTECTION_PC)",-0.427769238282783,0.0829565046352012,-5.15654848482209,2.5154337183591e-07,"***"
"log(GVT_HEALTH_PC)",0.640793361052566,0.300558505870708,2.13200873885172,0.0330061281616159,"*"
"log(GVT_HOUSING_AMEN_PC)",-0.848378816909914,0.140514403779537,-6.03766442507203,1.5636080594063e-09,"***"
"log(GVT_SOCIAL_PROTECTION_PC)",-0.00834146925520325,0.218227183481332,-0.0382237864327146,0.969509255920804,""
"log(GVT_OTHER_PC)",0.961339562067872,0.247132229043294,3.88998054114367,0.000100252260585466,"***"
"log(GVT_TRANSPORT_PC)",0.21063548078059,0.182320917764276,1.15530068279341,0.247967316455214,""
"I(log(GVT_AGRI_FORESTRY_PC)^2)",-0.20353834003269,0.0345637918264401,-5.88877346139408,3.89072335314273e-09,"***"
"I(log(GVT_COMMUNICATION_PC)^2)",0.0308203514222695,0.0134064683842989,2.29891650349655,0.0215096810739518,"*"
"I(log(GVT_ECON_AFFAIRS_PC)^2)",0.0472498031929317,0.0279873732928586,1.68825429591094,0.091362424534372,"."
"I(log(GVT_EDUCATION_PC)^2)",0.0778594657599248,0.101755165441818,0.76516475032851,0.444173446888054,""
"I(log(GVT_ENERGY_PC)^2)",0.00440997461477018,0.00367688065365431,1.1993793190941,0.23038048537426,""
"I(log(GVT_ENV_PROTECTION_PC)^2)",0.0030264931074436,0.00396217808957878,0.763845803752185,0.444959137511939,""
"I(log(GVT_HEALTH_PC)^2)",0.0899347684518015,0.0791847849124725,1.13575819586063,0.256057777184962,""
"I(log(GVT_HOUSING_AMEN_PC)^2)",0.0477460888217252,0.0191796221403339,2.4894175950066,0.0127952576695453,"*"
"I(log(GVT_SOCIAL_PROTECTION_PC)^2)",-0.00589089523732635,0.0177030630475058,-0.332761354434441,0.739314431983554,""
"I(log(GVT_OTHER_PC)^2)",0.0229191594400585,0.0576678389988069,0.397433991596819,0.691047453519993,""
"I(log(GVT_TRANSPORT_PC)^2)",0.0866302171597864,0.0222496499112567,3.89355416850661,9.8786130947126e-05,"***"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_COMMUNICATION_PC))",0.180917665281274,0.0339788541641408,5.32441925225964,1.01276077504645e-07,"***"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ECON_AFFAIRS_PC))",-0.164765404172428,0.0613762404109824,-2.68451444841097,0.0072635243736414,"**"
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_EDUCATION_PC))",0.16144808091371,0.0976587756961862,1.65318559200425,0.0982930978604603,"."
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ENERGY_PC))",0.0354395821604411,0.0122075011625675,2.90309881510488,0.00369490033356301,"**"
